"spkid","full_name","pdes","class","per","e","a","i","om","rot_per","diameter","extent","albedo","GM","BV","UB","IR","spec_B","spec_T"
2000064,"    64 Angelina (A861 EA)",64,MBA,1603.072979570526,.1258178351333263,2.680628175586972,1.305789857697497,308.9922335080723,8.752,58.292,,0.483,,0.734,0.254,,Xe,E
2000065,"    65 Cybele (A861 EB)",65,OMB,2325.517369574265,.1189683797175154,3.435163721177037,3.563576671716705,155.5262663053863,6.0814,237.26,,0.0706,,0.690,0.271,,Xc,P
2000066,"    66 Maja (A861 GA)",66,MBA,1573.158717448878,.1731223003711591,2.647175549865856,3.045167050059354,7.499325139650705,9.73509,71.82,,0.016,,0.697,0.360,,Ch,C
2000067,"    67 Asia (A861 HA)",67,MBA,1376.930073317287,.1845747596801814,2.422194269621277,6.029304057911569,202.3877690702178,15.853,56.309,,0.228,,0.861,0.434,,S,S
2000068,"    68 Leto (A861 HB)",68,MBA,1696.428204134073,.1847941092357265,2.78371458519036,7.961045433425409,44.05604404567383,14.848,122.509,,0.228,,0.845,0.488,,,S
2000069,"    69 Hesperia (A861 HC)",69,MBA,1874.238762503164,.1701139412491884,2.974981886461726,8.593142479589075,184.9858024840176,5.655,138.13,,0.1402,,0.674,0.230,,X,M
2000070,"    70 Panopaea (A861 JA)",70,MBA,1545.624927956688,.1808969351838156,2.616197086799195,11.59522453228189,47.66127848337565,15.8052,127.911,,0.038,,0.740,0.390,,Ch,C
2000071,"    71 Niobe (A861 PA)",71,MBA,1669.371935661617,.1762608960378276,2.754037107167866,23.24200572022743,315.9259146312265,35.864,83.42,,0.3052,,0.803,0.439,,Xe,S
2000072,"    72 Feronia (A861 KA)",72,MBA,1246.675167644983,.1210019775424957,2.266922056367488,5.41741491883971,207.933515205813,8.097,74.966,,0.083,,0.785,0.375,,,TDG
2000073,"    73 Klytia (A862 GA)",73,MBA,1589.188347643978,.04199796645895765,2.665127333595021,2.369938453381103,6.853806656847473,8.297,44.590,,0.223,,,,,,S
2000074,"    74 Galatea (A862 QA)",74,MBA,1694.410035744386,.2362710409284337,2.781506369413131,4.071921110392765,197.1186878597211,17.268,118.71,,0.0431,,0.686,0.320,,C,C
2000075,"    75 Eurydike (A862 SA)",75,MBA,1597.407559516248,.3036034832851076,2.674308711147882,4.991676389611167,359.3218136025417,5.357,62.377,,0.117,,0.710,0.266,,Xk,M
2000076,"    76 Freia (A862 UA)",76,OMB,2302.634183706095,.1667227443511017,3.412591833927634,2.122736222235436,204.2827218714148,9.973,145.423,,0.058,,0.704,0.298,,X,P
2000077,"    77 Frigga (A862 VA)",77,MBA,1591.15610474625,.1334037356062703,2.66732688054208,2.42289360117368,1.131518405821394,9.0032,61.390,,0.177,,0.746,0.249,,Xe,MU
2000078,"    78 Diana (A863 EA)",78,MBA,1552.28888255082,.2037174658742511,2.623711507795496,8.680804498911618,333.3459359941825,7.2991,120.60,,0.0706,,0.713,0.380,,Ch,C
2000079,"    79 Eurynome (A863 RA)",79,MBA,1395.892826426829,.1907468789798406,2.444382123962189,4.613899582198589,206.521791086055,5.978,63.479,,0.287,,0.874,0.421,,S,S
2000080,"    80 Sappho (A864 JA)",80,MBA,1270.666455367647,.2000256621461529,2.295912991035163,8.67672701139988,218.6486057242201,14.03,68.563,,0.206,,0.901,0.523,,S,S
2000081,"    81 Terpsichore (A864 SA)",81,MBA,1758.643092141349,.2117731709544753,2.851365271409856,7.80534055164707,.9482371172851221,10.943,117.727,,0.045,,0.701,0.346,,Cb,C
2000082,"    82 Alkmene (A864 WA)",82,MBA,1677.411869266138,.2205305705539931,2.762872581778624,2.826246891506607,25.43589070578549,12.999,57.621,,0.167,,0.814,0.380,,Sq,S
2000083,"    83 Beatrix (A865 HA)",83,MBA,1384.937914464628,.08235642444358214,2.431576394358296,4.967357763025276,27.66872057443862,10.111,110.503,,0.050,,0.704,0.266,,X,X
2000084,"    84 Klio (A865 QA)",84,MBA,1325.972277428379,.2361232242779968,2.362058656911473,9.316287348205375,327.5148777354095,23.562,79.16,,0.0527,,0.733,0.445,,Ch,G
2000085,"    85 Io (A865 SA)",85,MBA,1578.56177926745,.1938247315810107,2.653233289278907,11.96131063173197,203.0514494644864,6.875,154.79,,0.0666,,0.668,0.294,,B,FC
2000086,"    86 Semele (A866 AA)",86,MBA,1997.970457668764,.2162402786556111,3.104514960353083,4.821742393219155,86.06863776968237,16.634,109.929,,0.056,,0.703,0.321,,,C
2000087,"    87 Sylvia (A866 KA)",87,OMB,2368.844691871588,.09396728421147393,3.477699937019079,10.87984079062733,73.01038439280863,5.184,253.051,,0.046,,0.710,0.251,,X,P
2000088,"    88 Thisbe (A866 LA)",88,MBA,1682.370703263127,.1617148584205777,2.768315047520088,5.213903134014284,276.4315642509844,6.042,232,,0.0671,,0.681,0.305,,B,CF
2000089,"    89 Julia (A866 PA)",89,MBA,1487.627191968078,.184475252244475,2.550334352708846,16.12605284457733,311.5461776503782,11.387,145.483,,0.189,,0.859,0.442,,K,S
2000090,"    90 Antiope (A866 TA)",90,MBA,2042.445818097556,.1678071345427304,3.150417261588514,2.20695108468663,69.93775985058645,16.509,115.974,,0.058,,0.688,0.317,,C,C
2000091,"    91 Aegina (A866 VA)",91,MBA,1522.355633324381,.107120979574369,2.589872959056095,2.103111842407849,10.43681156080346,6.025,103.402,,0.048,,0.724,0.317,,Ch,CP
2000092,"    92 Undina (A867 NA)",92,MBA,2077.973042012228,.1054342291822191,3.186845345726148,9.919926603318208,101.4063551953754,15.941,126.42,,0.2509,,0.725,0.275,,Xc,X
2000093,"    93 Minerva (A867 QA)",93,MBA,1671.722590902165,.1393134628433028,2.756621821123742,8.557723717315579,4.025726485015984,5.982,154.155,,0.056,,0.685,0.315,,C,CU
2000094,"    94 Aurora (A867 RA)",94,MBA,2047.914968610973,.09526504273806939,3.156038765482805,7.970883981051625,2.550949684444486,7.22,204.89,,0.0395,,0.663,0.301,,C,CP
2000095,"    95 Arethusa (A867 WA)",95,MBA,1961.737595692077,.1536696019622195,3.066867351363361,12.99645703028538,242.9692433503415,8.705,147.969,,0.058,,0.711,0.374,,Ch,C
2000096,"    96 Aegle (A868 DA)",96,MBA,1946.1562812137,.1416156029028096,3.050606492804623,15.97981159427199,321.4929298520963,13.868,177.774,,0.048,,0.775,0.337,,T,T
2000097,"    97 Klotho (A868 DB)",97,MBA,1591.152484461406,.2579554146283966,2.667322834642494,11.77962305400199,159.6200457134816,35.15,100.717,,0.128,,0.716,0.226,,,M
2000098,"    98 Ianthe (A868 HA)",98,MBA,1609.005623667017,.1874644946807923,2.687237739482768,15.57610229916748,353.8967561228469,16.479,132.788,,0.029,,0.749,0.375,,Ch,CG
2000099,"    99 Dike (A868 KA)",99,MBA,1586.955510253605,.1972054872645126,2.662630381682158,13.86481128548998,41.40736623045607,18.127,67.354,,0.065,,0.703,0.322,,Xk,C
2000100,"   100 Hekate (A868 NA)",100,MBA,1981.420724953658,.1687212923218013,3.087347510622768,6.432940828593592,127.1714478642968,27.066,85.734,,0.205,,0.838,0.363,,S,S
